6.65      6.58      6.58      6.62      6.52      6.72      6.66      6.63      6.34      6.23      6.49      6.68
5.15      5.47      5.65      5.88      6.35      6.53      6.39      5.9       5.34      5.13      5.06      4.65
2.85      3.11      5.77      6.09      6.22      4.84      5.53      4.45      3.06      2.54      3.11      3.75
6.48      6.48      6.25      6.12      6.69      6.9       6.76      6.54      6.32      5.84      6.18      6.34
6.58      6.61      6.59      6.19      6.72      6.86      6.73      6.73      6.61      5.66      6.68      6.67
4.23      5.29      5.38      5.92      6.38      6.59      6.42      6.03      5.39      4.85      4.03      4.38
5.26      6.4       6.49      6.64      6.7       6.91      6.79      6.36      6.32      5.6       5.51      6.6
5.9       6.16      6.14      5.87      6.49      6.61      6.58      6.26      5.87      5.04      6.02      6.55
4.04      4.76      5.04      5.76      6.2       6.53      6.49      5.89      5.25      4.59      3.81      4.05
6.32      6.13      6.47      6.67      6.62      6.73      6.79      6.69      6.54      6.21      6.31      6.18
5.21      6.14      6.31      6.31      6.27      6.58      6.6       6.54      6.31      6.09      5.83      6.62
6.52      6.47      6.48      6.69      6.69      6.74      6.86      6.62      6.23      5.6       6.46      6.63
4.65      5.75      6.02      5.47      6.41      6.63      6.53      6.1       5.38      4.44      4.03      5.19
5.39      5.54      6.22      6.04      6.52      6.65      6.57      6.61      6.49      5.34      4.81      5.99
3.03      3.81      3.99      2.13      2.31      5.6       6.04      5.56      3.48      2.32      5.87      3.43
4.79      5.67      5.84      6.14      6.54      6.71      6.48      6.19      5.46      5.17      6.45      6.56
4.81      6.45      6.38      6.02      6.6       6.65      6.55      6.29      6.15      5.37      6         5.93
5.8       6.24      5.94      6.1       5.61      6.83      6.77      6.3       6.07      5.64      6.48      6.65
6.24      5.88      6.28      5.81      6.21      6.66      6.55      6.39      5.87      5.52      6.57      6.67
Nan       2.64      0.2       0.07      0.51      0.86      0.87      0.83      0.73      1.28      2.96      Nan
5.24      5.88      5.99      6.05      6.24      6.54      6.43      6.07      5.89      4.51      5.38      6.04
