  5.70   5.70   5.70   5.70   5.70   5.70   5.70   5.70   5.70   5.70   5.70   5.70
  4.78   4.78   4.78   4.78   4.78   4.78   4.78   4.78   4.78   4.78   4.78   4.78
  1.93   1.93   2.11   2.70   3.46   4.05   4.23   3.91   3.24   2.50   2.01   1.81
  0.15   0.15   0.66   2.08   3.74   4.85   4.88   3.83   2.19   0.73   0.15   0.15
  2.95   2.95   3.21   3.91   4.72   5.27   5.29   4.78   3.97   3.25   2.95   2.95
  0.27   0.27   0.65   1.71   2.94   3.77   3.80   3.03   1.81   0.71   0.26   0.26
  0.40   0.40   0.66   1.36   2.17   2.72   2.74   2.23   1.42   0.70   0.40   0.40
  0.08   0.08   0.43   1.59   2.99   3.94   3.98   3.08   1.68   0.48   0.07   0.07
  0.44   0.44   0.65   1.58   2.78   3.61   3.67   2.91   1.74   0.73   0.42   0.42
  0.37   0.47   0.55   1.25   2.20   2.88   2.94   2.34   1.40   0.63   0.44   0.34
  2.12   2.22   2.27   3.05   4.16   5.06   5.31   4.79   3.75   2.70   2.16   2.06
  2.21   2.21   2.11   2.72   3.75   4.72   5.17   4.90   4.03   2.96   2.21   2.21
  1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00
  1.92   2.02   2.02   2.65   3.60   4.40   4.64   4.21   3.33   2.42   1.95   1.85
  0.01   0.01   0.01   0.01   0.01   0.01   0.01   0.01   0.01   0.01   0.01   0.01
  0.43   0.43   0.43   0.43   0.43   0.43   0.43   0.43   0.43   0.43   0.43   0.43
  0.01   0.01   0.01   0.01   0.01   0.01   0.01   0.01   0.01   0.01   0.01   0.01
  1.31   1.31   1.44   1.77   2.15   2.41   2.42   2.18   1.80   1.46   1.31   1.31
  1.29   1.29   1.38   1.73   2.14   2.43   2.44   2.17   1.76   1.40   1.29   1.29
  1.88   1.88   1.88   1.88   1.88   1.88   1.88   1.88   1.88   1.88   1.88   1.88
