2.71	2.88	2.90	3.21	3.09	3.12	3.19	2.93	2.87	2.70	1.94	2.55
1.50	1.26	1.34	1.31	1.72	2.17	2.33	1.77	1.69	1.43	1.67	1.44
0.42	1.38	0.48	0.41	1.42	1.77	2.05	1.73	1.13	0.93	1.24	0.48
3.16	2.94	1.60	1.78	3.11	3.42	3.39	3.12	2.52	2.90	1.95	2.64
3.02	2.94	3.49	2.36	3.12	3.58	3.35	3.00	2.67	2.25	1.96	2.32
1.48	1.30	1.46	2.47	2.56	2.44	2.20	2.85	2.02	1.86	1.59	1.53
2.84	3.12	3.13	2.23	2.92	3.34	3.47	3.21	2.60	1.90	1.77	2.94
2.32	2.98	3.72	2.03	3.08	3.11	3.10	2.53	2.05	1.75	1.74	2.07
1.39	1.59	1.60	1.59	1.91	3.24	3.44	2.65	2.33	1.89	1.51	1.46
3.19	2.99	3.12	2.87	3.28	3.54	3.43	3.28	3.24	3.13	3.11	2.83
3.06	2.90	1.55	2.75	2.95	3.18	3.17	3.79	2.98	2.61	2.25	2.34
2.74	2.62	3.18	3.11	3.23	3.70	3.58	3.58	2.85	3.12	2.18	2.48
2.18	1.96	1.62	1.68	2.78	3.04	2.79	2.64	2.44	2.01	1.71	3.14
3.10	2.79	2.03	2.08	2.97	3.24	2.89	3.23	2.44	2.11	1.96	2.40
0.59	0.87	0.28	0.23	0.26	2.68	2.45	1.64	1.19	0.59	0.67	0.73
3.11	3.12	1.18	3.12	3.22	3.14	3.61	3.50	3.09	3.10	3.08	3.11
3.12	3.08	3.05	3.25	3.14	2.84	2.97	2.95	2.43	3.10	3.13	3.13
1.68	2.94	2.34	3.26	2.54	3.11	3.46	3.32	2.28	1.46	2.27	1.89
3.17	3.21	3.45	2.55	3.11	3.25	3.25	3.29	3.13	3.99	2.22	2.86
Nan	0.48	0.18	0.00	0.02	0.59	0.68	0.48	0.28	0.82	0.58	Nan
1.99	2.74	1.48	1.59	2.27	2.89	3.04	2.95	3.12	1.83	1.98	2.08

