            0.27            0.25            0.28            0.32            0.57            0.86            0.84            0.62            0.47            0.37            0.32            0.42
            0.40            0.52            0.67            0.75            0.93            1.07            0.97            0.87            0.73            0.64            0.47            0.37
            0.35            0.25            0.29            0.54            0.36            0.39            0.45            0.35            0.24            0.25            0.25            0.46
            0.33            0.36            0.43            0.52            1.24            1.57            1.37            1.18            0.94            0.61            0.42            0.33
            0.26            0.26            0.31            0.40            0.72            1.05            1.04            0.84            0.62            0.42            0.30            0.31
            0.45            0.49            0.55            0.62            0.75            0.80            0.76            0.69            0.61            0.53            0.45            0.43
            0.43            0.48            0.55            0.62            0.74            0.91            0.98            0.87            0.67            0.52            0.43            0.41
            0.42            0.42            0.53            0.64            0.67            1.18            1.21            0.91            0.58            0.37            0.41            0.44
            0.47            0.54            0.59            0.59            0.82            1.11            1.25            1.22            1.03            0.68            0.41            0.38
            0.53            0.58            0.66            0.83            1.18            1.36            1.27            1.12            0.97            0.77            0.63            0.55
            0.32            0.32            0.43            0.45            0.55            0.77            0.78            0.70            0.45            0.38            0.37            0.41
            0.36            0.43            0.49            0.62            0.78            1.03            0.97            0.76            0.62            0.47            0.37            0.34
            0.31            0.35            0.40            0.51            0.75            0.94            0.90            0.75            0.61            0.48            0.37            0.32
            0.43            0.47            0.53            0.61            0.96            1.35            1.33            1.13            0.90            0.67            0.48            0.43
            0.17            0.20            0.26            0.20            0.17            0.21            0.27            0.26            0.20            0.17            0.20            0.26
            0.12            0.15            0.12            0.13            0.19            0.27            0.34            0.34            0.27            0.19            0.16            0.12
            0.42            0.44            0.54            0.68            0.91            1.15            1.09            0.90            0.69            0.51            0.43            0.42
            0.32            0.23            0.36            0.41            0.33            0.42            0.56            0.42            0.27            0.21            0.30            0.49
            0.32            0.28            0.40            0.46            0.49            0.67            0.77            0.62            0.46            0.35            0.36            0.43
         -999.00            0.13            0.04            0.03            0.14            0.07            0.07            0.06            0.06            0.07            0.28         -999.00
            0.25            0.31            0.41            0.42            0.61            1.04            1.19            0.99            0.68            0.40            0.26            0.22
